id,name,category,price,oldPrice,stars,ratingCount,img,link,desc
206,Golden Oval Pearl Set,Jewelry Sets,"KES 1,250",,★★★★★,(12),https://www.toriasglamhaven.co.ke/wp-content/uploads/2025/07/WhatsApp-Image-2025-06-09-at-19.31.18.jpeg,product.html?id=206,Elevate your elegance with this golden oval pearl jewelry set. Featuring a vintage-style 18K gold plated necklace and matching freshwater pearl stud earrings. Tarnish-free and hypoallergenic.
207,Gold & Pearl Geometric Set,Jewelry Sets,"KES 1,250",,★★★★★,(8),https://www.toriasglamhaven.co.ke/wp-content/uploads/2025/07/WhatsApp-Image-2025-06-09-at-19.31.17-1.jpeg,product.html?id=207,"Bold meets elegant in this gold and mother-of-pearl jewelry set, featuring a statement square pendant and matching geometric earrings. Crafted with 18K gold plating and freshwater pearl accents."
208,Bold Gold Link Hoop,Earrings,"KES 1,250",,★★★★★,(24),https://www.toriasglamhaven.co.ke/wp-content/uploads/2025/07/WhatsApp-Image-2025-06-09-at-19.31.16-1.jpeg,product.html?id=208,Make a bold statement with this contemporary gold link hoop earring. Designed for everyday elegance with a tarnish-free 18K gold plated finish. Modern minimalism at its best.
209,Minimalist Black & Gold Set,Jewelry Sets,"KES 1,250",,★★★★☆,(19),https://www.toriasglamhaven.co.ke/wp-content/uploads/2025/07/WhatsApp-Image-2025-06-09-at-19.31.17.jpeg,product.html?id=209,Elegant black and gold jewelry set featuring a matching necklace and stud earrings. Features AAA gemstones and 18K gold plated stainless steel. Tarnish-free for lasting brilliance.
210,Vintage Bold Gold Hoop,Earrings,"KES 1,500",,★★★★★,(32),https://www.toriasglamhaven.co.ke/wp-content/uploads/2025/07/WhatsApp-Image-2025-06-09-at-19.31.16.jpeg,product.html?id=210,"Statement vintage-style gold hoop earrings with a bold, round design. 18K gold plated and 100% tarnish-free."
211,Radiant Pearl Burst,Earrings,"KES 1,500",,★★★★☆,(15),https://www.toriasglamhaven.co.ke/wp-content/uploads/2025/07/WhatsApp-Image-2025-06-09-at-19.31.15.jpeg,product.html?id=211,Bold gold burst earrings with freshwater pearl centers paired with daintly AAA gemstones — perfect for modern luxury looks.
212,The Golden Halo,Necklace,"KES 1,250",,★★★★★,(45),https://www.toriasglamhaven.co.ke/wp-content/uploads/2025/07/WhatsApp-Image-2025-06-09-at-22.57.33-2.jpeg,product.html?id=212,A sleek minimalist 18K gold plated pendant necklace that adds timeless elegance to any look. Tarnish-free and perfect for daily wear.
213,Red Ruby Pendant,Necklace,"KES 1,250",,★★★★★,(29),https://www.toriasglamhaven.co.ke/wp-content/uploads/2025/07/WhatsApp-Image-2025-06-09-at-22.57.33-1.jpeg,product.html?id=213,A striking gold chain necklace featuring a vibrant AAA ruby-red gemstone for a bold and classic finish. 18K gold plated.
214,Purple Pendant Necklace,Necklace,"KES 1,500",,★★★★★,(11),https://www.toriasglamhaven.co.ke/wp-content/uploads/2025/07/WhatsApp-Image-2025-06-09-at-22.57.32.jpeg,product.html?id=214,"Add a pop of color and elegance to your everyday style with our Purple Pendant Necklace, featuring AAA gemstones and tarnish-free 18K gold plating."
215,Emerald Pendant Necklace,Necklace,"KES 1,500",,★★★★★,(38),https://www.toriasglamhaven.co.ke/wp-content/uploads/2025/07/WhatsApp-Image-2025-06-09-at-22.57.33.jpeg,product.html?id=215,Bring timeless elegance to life with our Emerald Pendant Necklace — designed to sparkle with AAA gemstones. Crafted for comfort with 18K gold plating.
